question_text,choice_1,choice_2,choice_3,choice_4,correct_choice,explanation
It is very kind ( ) you to help me,for,to,of,at,3,Kind of you
Kate ( ) English every night for two hours,studies,study,studied,studying,1,He studies
The boy runs ( ) than his friends,fast,faster,fastest,slow,2,Faster than
Please tell me ( ) you live,where,who,when,how,1,Tell me where
I do not know ( ) he will come,what,if,how,where,2,Do not know if
Jim is the ( ) student in our class,young,youngest,younger,more young,2,Superlative youngest
There is ( ) sugar left in the jar,hardly,hard,fast,late,1,Hardly any
She was born ( ) 2012,in,on,at,for,1,Born in 2012
The train leaves ( ) seven oclock,on,in,at,from,3,At a clock time
I am looking forward to ( ) you again,see,saw,seeing,sees,3,Look forward to ing
This box is too heavy ( ) carry alone,to,for,with,by,1,Too heavy to carry
You should not ( ) TV so late at night,watch,watches,watching,watched,1,Base form after should
The dog ( ) at me when I came home,barked,bark,barking,barks,1,Past tense barked
There is a big tree ( ) our house,behind,between,under,into,1,Behind our house
Tom is good at ( ) soccer,play,playing,played,plays,2,Good at ing
Please ( ) your hands before dinner,wash,washes,washed,washing,1,Wash your hands
It was ( ) to see old friends again,nice,nicely,quick,hard,1,Nice to see
The store is ( ) from my house than the station,farther,more far,far,farthest,1,Farther than
I could not go out ( ) it was raining,because,so,if,while,1,Because it was raining
My mother made me ( ) my room clean,keep,kept,keeping,keeps,1,Make someone keep
The teacher told us ( ) quiet,be,being,to be,been,3,Told us to be
I have to finish this report ( ) tomorrow,by,for,on,at,1,By tomorrow
We arrived ( ) the airport at ten,at,in,on,from,1,Arrived at the airport
He spoke ( ) so everyone could hear,quietly,loudly,slowly,early,2,Loudly to hear
Please write your name ( ) the top of the paper,on,in,at,for,3,At the top
My sister ( ) to music while she studies,listens,listen,listened,listening,1,She listens
There were ( ) people at the festival last night,a few,a little,much,any,1,A few people
It was too dark ( ) in the room,see,to see,seeing,sees,2,Too dark to see
She decided ( ) abroad next year,studied,studying,study,to study,4,Decided to study
The movie was so ( ) that I watched it twice,excite,exciting,excited,excitement,2,An exciting movie
Do you know the boy ( ) is playing the guitar,what,who,whose,which,2,The boy who is playing
My uncle has a house ( ) has a big garden,who,which,what,where,2,House which has
I do not have ( ) money to buy that book,enough,too,very,more,1,Enough money
He runs every morning to stay ( ),healthy,health,healthily,sick,1,Stay healthy
I was very tired ( ) I went to bed early,so,because,if,or,1,So I went
Yumi ( ) her umbrella at school yesterday,left,leave,leaves,leaving,1,Past tense left
The library is a quiet place ( ) we can study,who,what,where,how,3,Place where
Please let me ( ) when you arrive,know,known,knowing,knows,1,Let me know
The test was not as ( ) as I expected,difficult,difficulty,more difficult,difficultly,1,Not as difficult as
We had lunch ( ) a restaurant near the station,at,in,on,about,1,At a restaurant
My little brother cannot read ( ),yet,already,ever,never,1,Not yet
The teacher asked us ( ) any questions,if we have,do we have,to have,had we,1,Asked us if we have
I have visited Kyoto three ( ),time,times,day,years,2,Three times
Please turn ( ) the light when you leave,on,off,up,over,2,Turn off the light
There is nothing ( ) in the fridge,ate,eat,eating,to eat,4,Nothing to eat
I saw a dog ( ) tail was very long,which,who,whose,where,3,Dog whose tail
She is the girl ( ) won the speech contest,what,who,whose,where,2,Girl who won
We were very ( ) by the news,excite,excited,exciting,excitement,2,We were excited
He is ( ) to carry the heavy box,strong enough,enough strong,so strong,strongly,1,Strong enough
My friends and I enjoyed ( ) soccer after school,play,playing,played,plays,2,Enjoy playing
The book on the desk is ( ),me,my,mine,I,3,Mine
There ( ) a lot of homework yesterday,was,were,is,be,1,There was a lot
I hope ( ) you again soon,see,to see,saw,sees,2,Hope to see
Please dont forget ( ) the door,lock,locking,locked,locks,1,Forget to lock
I heard someone ( ) my name,call,calls,called,calling,1,Heard someone call
Tom is as tall ( ) his father,than,with,as,like,3,As tall as
The teacher gave us some advice ( ) how to study,about,for,on,at,1,Advice about
I was too busy ( ) TV last night,watch,watching,to watch,watches,3,Too busy to watch
They have been friends ( ) they were children,since,for,from,until,1,Since they were children
We stayed at a hotel ( ) was very comfortable,who,which,what,where,2,Hotel which was comfortable
